time,temp0,hum0,cpt0,temp1,hum1,cpt1,temp2,hum2,cpt2,temp3,hum3,cpt3,temp4,hum4,cpt4,temp5,hum5,cpt5,temp6,hum6,cpt6,temp7,hum7,cpt7,temp8,hum8,cpt8,temp9,hum9,cpt9,targ0,meas0,temp_start0,temp_end0,open0,timeout0,cpt0,targ1,meas1,temp_start1,temp_end1,open1,timeout1,cpt1,targ2,meas2,temp_start2,temp_end2,open2,timeout2,cpt2,targ3,meas3,temp_start3,temp_end3,open3,timeout3,cpt3,targ4,meas4,temp_start4,temp_end4,open4,timeout4,cpt4
30_10_22_30_48,0,0,0,21.20,45.20,210,20.00,56.20,200,0,0,0,19.10,56.80,216,19.90,51.30,220,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.99,20.99,C,5,0,17.90,20.00,20.99,20.80,C,2,0,21.20,0.00,20.99,14.04,O,264,0,18.10,19.10,20.99,64.10,C,2,0,19.80,20.10,20.99,64.10,C,2,0
30_10_22_44_45,0,0,0,21.40,45.00,1681,20.00,56.00,1710,0,0,0,19.10,56.40,1641,20.00,52.00,1716,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.40,20.55,20.55,C,7,0,17.90,20.00,20.55,20.68,C,1,0,21.20,0.00,20.55,15.79,O,512,0,18.10,19.10,20.55,64.10,C,13,0,20.20,20.00,20.55,64.10,O,0,0
30_10_22_46_13,0,0,0,21.30,44.90,1792,20.10,56.10,1891,0,0,0,19.00,56.50,1889,20.00,51.90,1896,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.55,20.55,C,15,0,17.90,20.10,20.55,20.68,C,2,0,21.20,0.00,20.55,15.98,O,538,0,18.10,19.00,20.55,64.10,C,2,0,20.20,20.00,20.55,64.10,O,0,0
30_10_22_46_24,0,0,0,21.30,44.90,1792,20.00,56.00,1905,0,0,0,19.10,56.70,1910,20.10,51.90,1903,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.55,20.55,C,19,0,17.90,20.00,20.55,20.74,C,0,0,21.20,0.00,20.55,15.98,O,542,0,18.10,19.00,20.55,64.10,C,5,0,20.20,20.10,20.55,64.10,O,0,0
30_10_22_46_35,0,0,0,21.30,44.90,1792,20.10,56.00,1921,0,0,0,19.10,56.60,1926,20.00,51.90,1919,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.55,20.55,C,22,0,17.90,20.10,20.55,20.74,C,1,0,21.20,0.00,20.55,15.98,O,545,0,18.10,19.10,20.55,64.10,C,1,0,20.20,20.00,20.55,64.10,O,1,0
30_10_22_51_4,0,0,0,21.30,44.90,2274,20.10,55.80,2413,0,0,0,19.10,56.10,2418,20.00,52.00,2421,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.49,20.49,C,21,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,16.42,C,620,20,18.10,19.10,20.49,64.10,C,0,0,20.20,19.90,20.49,64.10,O,1,0
30_10_22_51_14,0,0,0,21.30,44.90,2274,20.10,55.80,2430,0,0,0,19.10,56.10,2436,20.00,51.90,2442,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.43,20.43,C,24,0,17.90,20.10,20.43,20.62,C,0,0,21.20,0.00,20.43,16.48,C,623,23,18.10,19.10,20.43,64.10,C,0,0,20.20,20.00,20.43,64.10,O,1,0
30_10_22_51_53,0,0,0,21.40,44.90,2518,20.00,55.80,2508,0,0,0,19.10,56.10,2510,19.90,51.80,2516,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.40,20.49,20.49,C,0,0,17.90,20.00,20.43,20.62,C,2,0,21.20,0.00,20.43,16.48,C,633,33,18.10,19.10,20.43,64.10,C,1,0,20.20,19.90,20.43,64.10,O,0,0
30_10_22_52_3,0,0,0,21.30,44.80,2535,20.00,55.80,2508,0,0,0,19.10,56.10,2539,19.90,51.80,2528,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.30,20.49,20.43,C,0,0,17.90,20.00,20.49,20.62,C,5,0,21.20,0.00,20.49,16.54,C,636,36,18.10,19.10,20.49,64.10,C,1,0,20.20,19.90,20.49,64.10,O,1,0
30_10_22_52_13,0,0,0,21.20,44.70,2558,20.10,56.00,2552,0,0,0,19.10,56.10,2564,19.70,51.70,2567,0,0,0,0,0,0,0,0,0,0,0,0,17.80,21.20,20.49,20.49,C,0,0,17.90,20.10,20.49,20.62,C,0,0,21.20,0.00,20.49,16.54,C,638,38,18.10,19.10,20.49,64.10,C,1,0,20.20,19.90,20.49,64.10,O,0,0
